Ticket Number,TITLE,Date Requested,Pending
264151,ECR1158 - Packet Capture for ARP Issue.docx,28-Feb-25,Sign of Net Sec and Engr
266648,ECR1167 - Rerouting of Google Traffic from GETAFIX to EQUINIX.docx,09-Mar-25,Sign of Net Engr
267532,ECR 1173 - Decommissioning of GNS Service for Client NOWTEL [PH-GNS-C-00106].docx,14-Mar-25,Sign of Sir Chris
267987,ECR 1174 - NSFocus disabling and enabling of IP Block Protection - UBP.docx,01-Mar-25,Sign of Sir Jay
269353,ECR1181 - Removal of local user on the Devices and Portals.docx,31-Mar-25,Sign of Net Engr
270248 ,ECR1188 - Capping UBP PH-GNS-C-00195 to 9G,22-Mar-25,Sign of Sir Jay
271915,ECR1193 - Removal of local user on the Devices and  Portals.docx,28-Mar-25,Pending NOC
271997,ECR1194 - Temporary Removal of prefix advertisement to Imperial GNS Client,3-Apr-25,Pending NOC
272679,ECR1196 - Rejecting Advertisement of Prefixes from Imperial Networks Inc. to Local Upstream IPSM,31-Mar-25,Pending NOC
,,,
